Year,Temperature,GDP,Population
1968,-0.1392383,2443223914097.19,3546810880.0
1969,-0.10033807,2690797713906.75,3620655360.0
1970,-0.12249983,2957799684034.88,3695390208.0
1971,-0.22896299,3266907090008.42,3770163200.0
1972,-0.2498834,3767673874129.39,3844800768.0
1973,0.021601314,4591345929540.29,3920251392.0
1974,-0.24963334,5296031606150.48,3995516928.0
1975,-0.11088225,5897205371168.41,4069437184.0
1976,-0.25186262,6416473081055.61,4142505728.0
1977,0.07897045,7257626963722.61,4215772416.0
1978,-0.011896554,8542924735220.41,4289657600.0
1979,0.031081047,9925897437975.24,4365582848.0
1980,0.13930702,11172203734232.9,4444007936.0
1981,0.3399632,11464351513520.9,4524627456.0
1982,-0.00987823,11363646516060.8,4607984640.0
1983,0.19221349,11623710624558.5,4691884032.0
1984,-0.02962185,12065068062766.6,4775836160.0
1985,-0.05202676,12689154578406.4,4861730816.0
1986,0.062017497,15022583231149.5,4950063104.0
1987,0.19571494,17091694967928.9,5040984576.0
1988,0.3156612,19140813953244.6,5132294144.0
1989,0.21736717,20092825106288.4,5223704064.0
1990,0.46398687,22595007714784.7,5316175872.0
1991,0.38519096,23927631710502.6,5406245888.0
1992,0.09690911,25409951568921.6,5492686336.0
1993,0.19244476,25859044482204.5,5577433600.0
1994,0.32322568,27767511728269.1,5660727808.0
1995,0.56863606,30872586998056.7,5743219712.0
1996,0.29174882,31552679853240.2,5825145344.0
1997,0.53472054,31435387611565.4,5906481152.0
1998,0.71429116,31338780339102.7,5987312640.0
1999,0.47636312,32510834041730.3,6067758592.0
2000,0.48707607,33566568243507.0,6148898816.0
2001,0.62824297,33354548715888.5,6230747136.0
2002,0.6687142,34635964364193.1,6312407552.0
2003,0.7204716,38894058718266.0,6393898496.0
2004,0.63348985,43804823746956.6,6475751424.0
2005,0.8313995,47428894542015.9,6558176256.0
2006,0.7947609,51363239608528.7,6641416192.0
2007,0.8321025,57858970551966.6,6725948416.0
2008,0.67170423,63461809858683.9,6811597312.0
2009,0.70673966,60168346976208.9,6898306048.0
2010,0.91949975,65954532001568.7,6985603072.0
2011,0.725346,73279862292629.0,7073125376.0
2012,0.7843316,74889946508917.8,7161697792.0
2013,0.77667415,76990857251851.0,7250593280.0
2014,0.907794,79049230590610.9,7339013632.0
2015,1.1308405,74757745150689.1,7426597376.0
2016,1.255193,75845109381590.5,7513474048.0
1960,-0.23137054,1366678314500.11,3019233536.0
1961,-0.03326399,1421787954650.66,3068370688.0
1962,-0.17631456,1526955368819.35,3126686720.0
1963,-0.14397602,1643751761478.77,3195779328.0
1964,-0.35073146,1800795995209.43,3267212288.0
1965,-0.21364318,1961780296080.77,3337112064.0
1966,-0.20880918,2128450484917.02,3406416896.0
1967,-0.19589992,2264600480895.74,3475448064.0
1968,-0.1980263,2443223914097.19,3546810880.0
1969,0.037604645,2690797713906.75,3620655360.0
1970,-0.0477133,2957799684034.88,3695390208.0
1971,-0.18290249,3266907090008.42,3770163200.0
1972,0.062229194,3767673874129.39,3844800768.0
1973,0.0782654,4591345929540.29,3920251392.0
1974,-0.09544133,5296031606150.48,3995516928.0
1975,-0.11062622,5897205371168.41,4069437184.0
1976,-0.17986071,6416473081055.61,4142505728.0
1977,0.1272066,7257626963722.61,4215772416.0
1978,0.0224081,8542924735220.41,4289657600.0
1979,0.15063521,9925897437975.24,4365582848.0
1980,0.25283712,11172203734232.9,4444007936.0
1981,0.16006088,11464351513520.9,4524627456.0
1982,0.07840488,11363646516060.8,4607984640.0
1983,0.25546375,11623710624558.5,4691884032.0
1984,0.12563127,12065068062766.6,4775836160.0
1985,0.15148632,12689154578406.4,4861730816.0
1986,0.12935646,15022583231149.5,4950063104.0
1987,0.29033786,17091694967928.9,5040984576.0
1988,0.24864225,19140813953244.6,5132294144.0
1989,0.14113335,20092825106288.4,5223704064.0
1990,0.25713807,22595007714784.7,5316175872.0
1991,0.2926021,23927631710502.6,5406245888.0
1992,0.15288447,25409951568921.6,5492686336.0
1993,0.13887216,25859044482204.5,5577433600.0
1994,0.14387386,27767511728269.1,5660727808.0
1995,0.18509625,30872586998056.7,5743219712.0
1996,0.26163,31552679853240.2,5825145344.0
1997,0.3098965,31435387611565.4,5906481152.0
1998,0.4403418,31338780339102.7,5987312640.0
1999,0.1726068,32510834041730.3,6067758592.0
2000,0.17509349,33566568243507.0,6148898816.0
2001,0.35031772,33354548715888.5,6230747136.0
2002,0.41821876,34635964364193.1,6312407552.0
2003,0.36786872,38894058718266.0,6393898496.0
2004,0.3012516,43804823746956.6,6475751424.0
2005,0.38232562,47428894542015.9,6558176256.0
2006,0.3503445,51363239608528.7,6641416192.0
2007,0.35130018,57858970551966.6,6725948416.0
2008,0.25959548,63461809858683.9,6811597312.0
2009,0.48682365,60168346976208.9,6898306048.0
2010,0.44124317,65954532001568.7,6985603072.0
2011,0.3500494,73279862292629.0,7073125376.0
2012,0.3708825,74889946508917.8,7161697792.0
2013,0.47047654,76990857251851.0,7250593280.0
2014,0.4379493,79049230590610.9,7339013632.0
2015,0.5193882,74757745150689.1,7426597376.0
2016,0.61066127,75845109381590.5,7513474048.0
